image_path,object_label,factual_answer,hallucinated_answer,question_factual_alignment,question_hallucinated_alignment,alignment_gap,entropy_gap,topk_gap,center_shift,mean_js_divergence,mean_cosine_similarity,discriminability_score
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_11861.JPEG,chain saw,yes,no,0.897104443401656,0.7327562507482782,0.16434819265337774,-0.31743909269250636,0.1326124830331531,1.311774720347872,0.06057435427101306,0.7744636760268281,1.5366972672722627
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_5321.JPEG,cassette player,no,yes,0.8288445013787478,0.5891055805806771,0.2397389207980707,-0.31142177179614183,0.08681419452904504,1.0180274614520446,0.06200443871855893,0.7978856134295748,1.3197708209686743
/root/AI Trusty/imagenette2-320/val/n01440764/n01440764_8622.JPEG,tench,yes,no,0.8327473976462522,0.886195128230548,-0.05344773058429586,-0.08518903182420345,0.030453370691640946,0.8716316345748765,0.029284008862276435,0.9025505977577416,0.9543633740214488
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_17060.JPEG,cassette player,yes,no,0.8855917855575676,0.6627432004514722,0.2228485851060954,-0.23865481024611235,0.09294918307934857,0.6073053323903389,0.04815517000067582,0.7662602030130028,0.8783090874971101
/root/AI Trusty/imagenette2-320/val/n02979186/n02979186_13851.JPEG,cassette player,yes,no,0.7128137644082089,0.6470112568189261,0.06580250758928274,-0.12557904331943348,0.052642911670035875,0.695573265590988,0.019231687658753945,0.9564572732694286,0.7806074608390247
/root/AI Trusty/imagenette2-320/val/n03000684/ILSVRC2012_val_00007460.JPEG,chain saw,yes,no,0.8295215494821844,0.828745809602977,0.0007757398792074266,-0.23263347062634487,0.08333498741058182,0.7053049163478416,0.04840060491516272,0.856958458807175,0.7544812611422118
/root/AI Trusty/imagenette2-320/val/n02102040/n02102040_3691.JPEG,English springer,yes,no,0.7856938798517683,0.7552212844883637,0.03047259536340463,-0.09910522506143238,0.043875902606941575,0.6985442732828627,0.01924449619168164,0.9494829968812603,0.748261364837949
/root/AI Trusty/imagenette2-320/val/n03000684/n03000684_18521.JPEG,chain saw,yes,no,0.8679904385681663,0.6893155974336341,0.17867484113453214,-0.2147107550975509,0.09051352114475869,0.5123539656350699,0.03834653198030082,0.8148234826915092,0.7293753387499028
/root/AI Trusty/imagenette2-320/val/n03394916/n03394916_3522.JPEG,French horn,yes,no,0.8611849791292618,0.7045682094379092,0.15661676969135263,-0.22460947050586189,0.07626489321069246,0.5134419081560655,0.044401396680647,0.7660868565774068,0.7144600745280651
/root/AI Trusty/imagenette2-320/val/n03417042/n03417042_6581.JPEG,garbage truck,yes,no,0.772563489210847,0.7772693394940023,-0.004705850283155288,-0.06355663735429751,0.01498738833429486,0.6767296275639637,0.03100108480393498,0.9069971446346189,0.7124365626510539
